age,sex,race,region,educ,exper,earnings,weeks,hours
46,2,1,1,18,22,60000,52,40
43,1,1,1,14,23,180000,48,45
49,2,1,3,12,31,48700,52,40
48,1,1,2,16,26,30000,52,60
45,1,1,3,14,25,66000,52,85
40,2,2,3,14,20,34000,52,40
46,1,1,1,10,28,10000,52,40
36,2,1,1,7.5,18,12000,52,40
41,1,1,1,12,23,26000,52,45
36,2,2,3,14,16,14000,52,40
27,2,1,3,2.5,9,387963,52,40
29,2,1,1,12,11,15000,26,24
46,1,1,1,12,28,35000,34,65
46,1,1,1,16,24,98000,52,45
34,2,1,3,14,14,3960,12,40
49,1,1,3,18,25,52540,52,40
36,1,1,1,16,14,40000,52,40
41,2,2,3,12,23,9000,16,31
34,1,1,1,12,16,70000,52,40
49,1,1,1,14,29,45000,52,40
48,1,1,3,7.5,30,21120,52,40
48,1,1,3,14,28,35000,52,40
41,1,1,1,16,19,49000,43,40
25,1,1,1,16,3,10000,52,20
43,2,1,2,16,21,6000,36,14
45,1,1,2,14,25,8000,25,40
49,1,1,1,16,27,22500,52,40
34,2,1,3,11,16,4000,52,30
51,1,2,3,12,33,24000,52,40
42,1,1,1,20,16,50000,52,50
31,2,1,3,12,13,24000,35,70
41,2,1,1,12,23,40000,52,40
48,2,2,1,5.5,30,10400,52,40
40,2,1,3,14,20,9360,36,34
26,2,1,1,14,6,23000,52,40
37,2,1,1,12,19,5250,25,32
54,1,1,3,5.5,36,20800,52,40
50,1,1,1,12,32,38000,36,48
46,2,1,1,12,28,15000,52,40
43,1,2,3,16,21,38500,52,40
49,2,1,2,12,31,38624,52,40
49,1,1,2,11,31,33686,52,40
44,2,1,1,16,22,29000,52,40
48,1,1,1,12,30,65000,52,40
32,1,1,3,9,14,24000,40,35
44,1,1,3,16,22,65000,52,50
28,1,1,1,14,8,35000,52,50
35,2,1,2,12,17,3000,52,30
49,2,1,2,14,29,31000,52,40
48,2,1,1,12,30,33280,52,40
47,1,1,1,14,27,27371,52,40
34,2,1,1,16,12,97000,52,40
52,2,1,3,14,32,50000,52,40
31,1,4,3,18,7,40000,52,40
40,2,1,2,12,22,40000,50,40
26,1,1,4,12,8,50000,52,40
36,1,2,3,14,16,85000,52,40
38,2,1,2,16,16,62000,52,42
45,2,1,3,16,23,48000,38,40
37,2,2,3,16,15,12000,52,16
34,2,1,2,14,14,1800,50,5
40,2,1,4,12,22,2500,15,20
38,1,1,1,12,20,25000,52,40
30,2,1,3,12,12,31000,52,40
30,1,1,4,12,12,69000,52,50
49,1,1,4,16,27,30000,52,40
40,2,1,2,14,20,1580,8,7
28,1,1,2,16,6,80000,52,60
42,2,1,4,14,22,32000,52,48
43,2,1,4,12,25,40000,52,40
37,2,1,3,12,19,18686,52,40
39,1,1,2,14,19,45000,52,55
34,2,1,3,12,16,11000,40,12
29,2,5,3,14,9,31000,39,40
36,1,1,4,18,12,45000,52,40
44,2,1,1,14,24,30000,52,40
44,2,1,2,12,26,30000,52,40
51,2,1,2,20,25,121500,47,31
32,1,1,2,16,10,68000,52,40
51,2,1,1,16,29,49000,40,40
29,1,1,3,12,11,17000,52,45
43,2,1,3,12,25,35000,52,50
44,2,1,2,12,26,30000,52,35
47,2,1,2,16,25,26600,52,30
32,1,1,2,12,14,32000,52,40
26,1,1,2,12,8,50000,52,60
28,2,1,1,18,4,45000,52,40
27,2,1,3,20,1,75500,52,40
41,1,1,4,12,23,38000,52,40
45,2,1,1,18,21,13900,36,20
37,2,1,3,14,17,50000,52,40
38,1,1,2,14,18,50000,52,60
49,2,1,4,5.5,31,12000,30,1
32,1,1,4,14,12,100000,52,40
41,1,1,4,12,23,25000,52,40
28,2,1,3,14,8,75000,52,35
47,1,3,4,16,25,140000,52,40
49,1,1,4,14,29,70000,52,50
30,2,3,2,14,10,58000,52,55
33,1,1,2,18,9,36000,52,40
40,1,1,2,12,22,23400,52,40
54,1,1,2,14,34,46800,52,50
27,2,1,2,14,7,12000,52,30
32,2,4,4,16,10,9672,16,40
31,2,1,2,16,9,30000,42,40
43,1,1,2,2.5,25,30000,52,40
48,1,2,2,10,30,1000,45,6
54,2,1,4,12,36,18000,52,40
37,2,4,4,16,15,62000,52,50
46,1,1,4,14,26,60000,52,40
47,1,1,4,11,29,3600,26,4
33,1,1,2,12,15,41717,52,40
40,1,1,2,12,22,54000,52,40
45,2,1,3,14,25,14656,52,50
42,2,1,3,16,20,37000,52,40
45,1,1,4,14,25,26000,52,40
43,2,1,4,16,21,24000,40,40
50,2,1,2,14,30,25584,52,40
28,1,1,2,14,8,60000,52,40
29,1,1,4,16,7,10000,40,20
53,1,1,4,12,35,25200,36,40
50,2,1,4,12,32,23000,52,40
30,2,1,4,12,12,17000,40,40
48,1,1,4,12,30,73000,52,45
39,2,1,4,18,15,46000,52,40
44,2,4,4,20,18,42000,52,40
25,2,4,2,12,7,32000,52,40
39,2,5,3,9,21,4100,44,20
39,2,1,4,14,19,2683,26,16
40,2,1,4,2.5,22,10400,52,40
25,2,1,4,12,7,18000,52,40
42,1,1,2,14,22,44000,52,36
32,1,1,1,12,14,50000,52,40
46,1,3,1,12,28,24000,36,37
31,2,2,3,11,13,22880,52,40
31,2,1,1,12,13,24000,52,20
48,2,2,2,12,30,16000,52,40
37,1,1,1,12,19,3000,52,30
51,2,1,2,18,27,25000,52,21
44,1,1,1,14,24,18000,52,40
42,1,2,3,12,24,28000,46,44
42,1,1,2,7.5,24,4440,2,40
40,2,1,3,14,20,6800,52,16
47,2,2,3,14,27,57000,52,40
46,1,4,3,16,24,75000,52,40
49,2,1,1,16,27,27000,52,40
33,1,1,1,14,13,35000,52,40
46,1,1,1,14,26,20952,52,15
51,2,1,1,12,33,11000,52,20
41,1,2,3,12,23,21000,52,40
25,2,1,3,16,3,27600,52,56
53,1,1,1,18,29,60000,52,40
40,1,4,3,12,22,40000,52,50
43,2,1,3,10,25,5000,52,12
42,2,1,3,5.5,24,16000,52,40
50,2,1,2,12,32,25000,52,45
36,2,1,1,12,18,14000,52,40
36,1,1,2,14,16,42000,23,40
38,1,1,1,12,20,20000,52,50
36,2,1,3,14,16,36500,52,40
45,2,1,1,16,23,15000,26,40
54,2,1,3,16,32,54000,32,40
28,1,2,3,12,10,20000,52,50
34,1,1,1,16,12,24430,52,45
46,2,1,1,18,22,10000,17,40
33,1,1,1,16,11,30000,52,65
50,2,2,3,14,30,19500,52,40
54,1,1,1,14,34,61291,52,40
53,2,4,3,11,35,50000,52,40
50,1,1,1,18,26,140000,52,45
33,1,1,1,14,13,20000,40,40
50,1,1,1,12,32,6200,26,40
54,2,1,2,18,30,55600,52,60
27,2,1,2,12,9,1800,26,30
